156...\ModelLib\Samples\7 - Copy - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 
54...\ModelLib\Samples\1(2) - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

3...\ModelLib\Samples\0 - Copy (3) - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

106...\ModelLib\Samples\4 - Copy - Copy - Copy (2).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

6...\ModelLib\Samples\0 - Copy (4).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

158...\ModelLib\Samples\7 - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

55...\ModelLib\Samples\1(3) - Copy - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

10...\ModelLib\Samples\0 - Copy - Copy - Copy (2).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

7...\ModelLib\Samples\0 - Copy - Copy (2) - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

107...\ModelLib\Samples\4 - Copy - Copy - Copy - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

159...\ModelLib\Samples\7.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

56...\ModelLib\Samples\1(3) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

8...\ModelLib\Samples\0 - Copy - Copy (2).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

108...\ModelLib\Samples\4 - Copy - Copy - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

11...\ModelLib\Samples\0 - Copy - Copy - Copy - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

160...\ModelLib\Samples\8 - Copy (2) - Copy - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

109...\ModelLib\Samples\4 - Copy - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

57...\ModelLib\Samples\1(3) - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

9...\ModelLib\Samples\0 - Copy - Copy (3).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

161...\ModelLib\Samples\8 - Copy (2) - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

12...\ModelLib\Samples\0 - Copy - Copy - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

58...\ModelLib\Samples\1(4) - Copy - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

110...\ModelLib\Samples\4 - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

14...\ModelLib\Samples\0 - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

162...\ModelLib\Samples\8 - Copy (2).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

59...\ModelLib\Samples\1(4) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

111...\ModelLib\Samples\4.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

13...\ModelLib\Samples\0 - Copy - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

15...\ModelLib\Samples\0(1) - Copy - Copy - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

60...\ModelLib\Samples\1(4) - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

163...\ModelLib\Samples\8 - Copy (3) - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

112...\ModelLib\Samples\5 - Copy (2) - Copy - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

22...\ModelLib\Samples\0(2) - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

61...\ModelLib\Samples\1(5) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

16...\ModelLib\Samples\0(1) - Copy - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

164...\ModelLib\Samples\8 - Copy (3).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

113...\ModelLib\Samples\5 - Copy (2) - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

62...\ModelLib\Samples\1(6) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

17...\ModelLib\Samples\0(1) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

23...\ModelLib\Samples\0(3) - Copy - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

114...\ModelLib\Samples\5 - Copy (2).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

165...\ModelLib\Samples\8 - Copy (4) - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

18...\ModelLib\Samples\0(1) - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

24...\ModelLib\Samples\0(3) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

115...\ModelLib\Samples\5 - Copy (3) - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

63...\ModelLib\Samples\1.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

166...\ModelLib\Samples\8 - Copy (4).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

19...\ModelLib\Samples\0(1).png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

64...\ModelLib\Samples\2 - Copy (2) - Copy - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

25...\ModelLib\Samples\0(3) - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

116...\ModelLib\Samples\5 - Copy (3).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

167...\ModelLib\Samples\8 - Copy - Copy (2) - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

20...\ModelLib\Samples\0(2) - Copy - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

26...\ModelLib\Samples\0(4) - Copy - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

65...\ModelLib\Samples\2 - Copy (2) - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

117...\ModelLib\Samples\5 - Copy (4) - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

168...\ModelLib\Samples\8 - Copy - Copy (2).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

21...\ModelLib\Samples\0(2) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

27...\ModelLib\Samples\0(4) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

66...\ModelLib\Samples\2 - Copy (2).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

118...\ModelLib\Samples\5 - Copy (4).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

169...\ModelLib\Samples\8 - Copy - Copy (3).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

30...\ModelLib\Samples\0(6) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

28...\ModelLib\Samples\0(4) - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

119...\ModelLib\Samples\5 - Copy - Copy (2) - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

67...\ModelLib\Samples\2 - Copy (3) - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

170...\ModelLib\Samples\8 - Copy - Copy - Copy (2).png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

31...\ModelLib\Samples\0.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

29...\ModelLib\Samples\0(5) - Copy - Copy.png 0: 0.027019665; 1: 0.00018963043; 2: 0.43277985; 3: 2.2477718E-05; 4: 0.051294304; 5: 0.0010326921; 6: 0.480786; 7: 0.0054331394; 8: 0.0014374884; 9: 4.726184E-06; 

120...\ModelLib\Samples\5 - Copy - Copy (2).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

68...\ModelLib\Samples\2 - Copy (3).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

171...\ModelLib\Samples\8 - Copy - Copy - Copy - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

32...\ModelLib\Samples\1 - Copy (2) - Copy - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

46...\ModelLib\Samples\1 - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

121...\ModelLib\Samples\5 - Copy - Copy (3).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

69...\ModelLib\Samples\2 - Copy (4) - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

172...\ModelLib\Samples\8 - Copy - Copy - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

33...\ModelLib\Samples\1 - Copy (2) - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

122...\ModelLib\Samples\5 - Copy - Copy - Copy (2).png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

47...\ModelLib\Samples\1(1) - Copy - Copy - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

70...\ModelLib\Samples\2 - Copy (4).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

173...\ModelLib\Samples\8 - Copy - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

34...\ModelLib\Samples\1 - Copy (2).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

123...\ModelLib\Samples\5 - Copy - Copy - Copy - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

48...\ModelLib\Samples\1(1) - Copy - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

